url,year,make,model,miles,price,trade_type,location,post_time,title,author,author_link,scraping_time_R
https://www.chineseinla.com/f/page_viewtopic/t_2871467.html,2006,丰田,Sienna,"220,000 mi","$3,900 ",卖车,洛杉矶,2025-03-13 18:01:00,私人出售2006年 丰田塞纳,mssjkashi,https://www.chineseinla.com/user/id_627983.html,2025-03-16 23:45:00
https://www.chineseinla.com/f/page_viewtopic/t_2871934.html,2012,丰田,Sienna,"100,000 mi","$6,000 ",租车,洛杉矶,2025-03-14 13:56:00,小万把块的toyota丰田塞纳,8041小CCcccc,https://www.chineseinla.com/user/id_2511069.html,2025-03-16 23:45:00
https://www.chineseinla.com/f/page_viewtopic/t_2871941.html,2013,雷克萨斯,CT200 混动,"130,000 mi",-,租车,洛杉矶,2025-03-14 14:04:00,雷克萨斯混动CT200,8041小CCcccc,https://www.chineseinla.com/user/id_2511069.html,2025-03-16 23:45:00
https://www.chineseinla.com/f/page_viewtopic/t_2871951.html,2013,丰田,普锐斯 混动,"100,000 mi","$6,000 ",租车,洛杉矶,2025-03-14 14:14:00,出台几千块的toyota丰田普锐斯,8041小CCcccc,https://www.chineseinla.com/user/id_2511069.html,2025-03-16 23:45:00
https://www.chineseinla.com/f/page_viewtopic/t_2871954.html,2021,马自达,Mazda3,"90,000 mi",-,卖车,洛杉矶,2025-03-14 14:20:00,2021年马自达3低价一万多出,8041小CCcccc,https://www.chineseinla.com/user/id_2511069.html,2025-03-16 23:45:00
https://www.chineseinla.com/f/page_viewtopic/t_2871958.html,2015,本田,奥德赛 顶配,"130,000 mi",-,租车,洛杉矶,2025-03-14 14:25:00,一万出头的本田奥德赛顶配,8041小CCcccc,https://www.chineseinla.com/user/id_2511069.html,2025-03-16 23:30:00
https://www.chineseinla.com/f/page_viewtopic/t_2871985.html,2012,雪弗兰,科鲁兹 1.4T,-,"$2,500 ",卖车,洛杉矶,2025-03-14 15:06:00,2012年雪弗兰,yanzhifei,https://www.chineseinla.com/user/id_2550747.html,2025-03-16 16:00:00
https://www.chineseinla.com/f/page_viewtopic/t_2735213.html,-,奔驰宝马,-,"30,000~60,000 mi",-,买车,洛杉矶,2020-01-01 00:00:00,求购7-9 成新车一部,vwgroupbrand,https://www.chineseinla.com/user/id_1717462.html,2025-03-16 17:00:00
https://www.chineseinla.com/f/page_viewtopic/t_2861591.html,2016,尼桑,suv,"90,000 mi","$12,599 ",卖车,洛杉矶,2025-02-26 03:42:00,出售,jack1977,https://www.chineseinla.com/user/id_601990.html,2025-03-16 17:15:00
https://www.chineseinla.com/f/page_viewtopic/t_2872023.html,2018,本田,奥得赛,"150,000 mi","$18,600 ",卖车,洛杉矶,2025-03-14 16:24:00,"卖,卖,卖.",8404贵在坚持,https://www.chineseinla.com/user/id_2604688.html,2025-03-16 17:15:00
https://www.chineseinla.com/f/page_viewtopic/t_2808276.html,2013,本田,CB1109,-,"$4,900 ",卖车,洛杉矶,2020-01-01 00:00:00,"出一台本田CB1100摩托车,也可换CT125等小排车型",tyzhong,https://www.chineseinla.com/user/id_174266.html,2025-03-16 23:45:00
https://www.chineseinla.com/f/page_viewtopic/t_2872073.html,2013,丰田,Prius,"100,000 mi","$6,000 ",卖车,洛杉矶,2025-03-14 17:33:00,6000多块钱2013年神车普锐斯,利未,https://www.chineseinla.com/user/id_2598472.html,2025-03-16 17:30:00
https://www.chineseinla.com/f/page_viewtopic/t_2870085.html,2022,雷克萨斯,Lexus ES-300h 顶配,"10,000~30,000 mi",-,卖车,洛杉矶,2025-03-11 17:13:00,出售个人一手 油电混动 雷克萨斯Lexus-ES 私家车,艺之轩2,https://www.chineseinla.com/user/id_2537741.html,2025-03-16 23:45:00
