thread_id,url,title,author,author_link,repost_count,reply_count,delete_reply_count,daysold,last_active
2832136,https://www.chineseinla.com/f/page_viewtopic/t_2832136.html,出售2012丰田RAV4越野车 无事故 一口价6500美金,liongge,https://www.chineseinla.com/user/id_2594818.html,96,2,0,40,3
2855514,https://www.chineseinla.com/f/page_viewtopic/t_2855514.html,新特斯拉优惠价,ez2rentinla,https://www.chineseinla.com/user/id_103305.html,81,0,0,31,3
2667540,https://www.chineseinla.com/f/page_viewtopic/t_2667540.html,出售2016年Lexus雷克萨斯CT200H 混动车 省油省心,李刘,https://www.chineseinla.com/user/id_2550366.html,72,1,0,40,3
2852536,https://www.chineseinla.com/f/page_viewtopic/t_2852536.html,"求购二手车,现金收购各种二手车",shouche,https://www.chineseinla.com/user/id_2600368.html,62,0,0,37,3
2799594,https://www.chineseinla.com/f/page_viewtopic/t_2799594.html,2014大改款1.5T涡轮增压发动机宝马迷你Cooper,QiQi6000,https://www.chineseinla.com/user/id_2585544.html,62,0,0,40,3
2850277,https://www.chineseinla.com/f/page_viewtopic/t_2850277.html,2014年奔驰Gl450汽油版7座$9999,741天涯人,https://www.chineseinla.com/user/id_2532855.html,61,0,0,40,3
2850704,https://www.chineseinla.com/f/page_viewtopic/t_2850704.html,2015丰田卡罗拉10万迈$8900,UFC,https://www.chineseinla.com/user/id_2596893.html,59,0,0,40,3
2803845,https://www.chineseinla.com/f/page_viewtopic/t_2803845.html,2012雷克萨斯IS350C硬顶敞篷四座轿跑车,Jackieliu,https://www.chineseinla.com/user/id_36192.html,57,0,0,40,3
2785038,https://www.chineseinla.com/f/page_viewtopic/t_2785038.html,"2012顶配马自达三排座椅,真实里程11万里",LexusUSA,https://www.chineseinla.com/user/id_2470190.html,56,1,0,40,3
2845154,https://www.chineseinla.com/f/page_viewtopic/t_2845154.html,FORDE450货车厢货,汽车维修,https://www.chineseinla.com/user/id_2563330.html,51,2,0,40,3
2846032,https://www.chineseinla.com/f/page_viewtopic/t_2846032.html,个人11年马自达6出售,ayujie,https://www.chineseinla.com/user/id_2346434.html,51,0,1,40,3
2844329,https://www.chineseinla.com/f/page_viewtopic/t_2844329.html,2011丰田赛纳顶配4驱$5999,yyccc,https://www.chineseinla.com/user/id_2541610.html,49,0,0,40,3
